release_date,achievements,median_playtime,price,total_reviews,average_playtime,english,categories,owners,season,Rating
2000-11-01,0,317,7.19,127873,17612,1,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,10000000-20000000,Fall,Very Positive
1999-04-01,0,62,3.99,3951,277,1,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,5000000-10000000,Spring,Positive
2003-05-01,0,34,3.99,3814,187,1,Multi-player;Valve Anti-Cheat enabled,5000000-10000000,Spring,Very Positive
2001-06-01,0,184,3.99,1540,258,1,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,5000000-10000000,Summer,Positive
1999-11-01,0,415,3.99,5538,624,1,Single-player;Multi-player;Valve Anti-Cheat enabled,5000000-10000000,Fall,Very Positive
2000-11-01,0,10,3.99,3442,175,1,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled,5000000-10000000,Fall,Positive
1998-11-08,0,83,7.19,28855,1300,1,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled,5000000-10000000,Fall,Very Positive
2004-03-01,0,43,7.19,13559,427,1,Single-player;Multi-player;Valve Anti-Cheat enabled,10000000-20000000,Spring,Very Positive
2001-06-01,0,205,3.99,4242,361,1,Single-player,5000000-10000000,Summer,Very Positive
2004-11-16,33,402,7.19,70321,691,1,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK,10000000-20000000,Fall,Very Positive
2004-11-01,147,400,7.19,80137,6842,1,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK,10000000-20000000,Fall,Very Positive
2004-06-01,0,214,0.0,4820,190,1,Single-player,2000000-5000000,Summer,Positive
2010-07-12,54,134,7.19,11699,1356,1,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK,5000000-10000000,Summer,Very Positive
