,english,required_age,achievements,average_playtime,median_playtime,owners,price,indie,action,adventure,singleplayer,multiplayer,rating,day,month,year
0,1,0,0,17612,317,10000000-20000000,7.19,0,1,0,0,1,very positive,1,11,2000
1,1,0,0,277,62,5000000-10000000,3.99,0,1,0,0,1,very positive,1,4,1999
2,1,0,0,187,34,5000000-10000000,3.99,0,1,0,0,1,very positive,1,5,2003
3,1,0,0,258,184,5000000-10000000,3.99,0,1,0,0,1,very positive,1,6,2001
4,1,0,0,624,415,5000000-10000000,3.99,0,1,0,1,1,very positive,1,11,1999
5,1,0,0,175,10,5000000-10000000,3.99,0,1,0,0,1,very positive,1,11,2000
6,1,0,0,1300,83,5000000-10000000,7.19,0,1,0,1,1,very positive,8,11,1998
7,1,0,0,427,43,10000000-20000000,7.19,0,1,0,1,1,very positive,1,3,2004
8,1,0,0,361,205,5000000-10000000,3.99,0,1,0,1,0,very positive,1,6,2001
9,1,0,33,691,402,10000000-20000000,7.19,0,1,0,1,0,very positive,16,11,2004
11,1,0,0,190,214,2000000-5000000,0.0,0,1,0,1,0,very positive,1,6,2004
12,1,0,54,1356,134,5000000-10000000,7.19,0,1,0,0,1,very positive,12,7,2010
13,1,0,0,311,32,10000000-20000000,3.99,0,1,0,0,1,very positive,1,11,2004
14,1,0,0,46,29,10000000-20000000,0.0,0,1,0,1,0,very positive,27,10,2005
15,1,0,0,102,81,5000000-10000000,0.0,0,1,0,0,1,positive,1,5,2006
16,1,0,13,281,184,5000000-10000000,5.79,0,1,0,1,0,very positive,1,6,2006
17,1,0,15,288,137,10000000-20000000,7.19,0,1,0,1,0,very positive,10,10,2007
18,1,0,22,354,301,5000000-10000000,5.79,0,1,0,1,0,very positive,10,10,2007
22,1,0,0,23944,801,100000000-200000000,0.0,0,1,0,0,1,very positive,9,7,2013
23,1,0,51,1102,520,10000000-20000000,7.19,0,1,1,1,0,very positive,18,4,2011
26,1,0,0,0,0,20000-50000,5.99,1,0,0,1,1,positive,12,10,2005
27,1,0,44,232,258,500000-1000000,3.99,0,1,0,0,1,very positive,14,3,2006
29,1,0,0,0,0,100000-200000,7.19,0,1,0,1,0,very positive,10,5,2006
30,1,0,0,182,273,500000-1000000,7.19,1,0,0,1,0,positive,14,7,2005
31,1,0,0,65,77,500000-1000000,6.99,1,0,0,1,0,very positive,23,8,2006
32,1,0,22,80,119,500000-1000000,7.19,1,0,0,1,1,very positive,29,9,2006
33,1,0,12,121,224,500000-1000000,7.19,1,0,0,1,1,very positive,19,9,2008
35,1,0,0,0,0,50000-100000,6.99,0,0,0,1,1,very positive,7,2,2006
36,1,0,0,0,0,100000-200000,4.99,0,0,0,1,1,very positive,6,7,2006
37,1,0,0,9,12,100000-200000,4.99,0,0,0,1,1,very positive,6,7,2006
38,1,0,0,0,0,20000-50000,3.99,0,0,0,1,1,positive,26,7,2006
39,1,0,0,35,35,50000-100000,10.99,0,0,0,1,1,positive,16,10,2006
40,1,0,0,11,21,100000-200000,2.99,0,0,0,1,0,very positive,3,4,2007
41,1,0,0,239,77,1000000-2000000,0.0,0,0,0,0,0,very positive,10,7,2012
42,1,0,0,405,414,1000000-2000000,3.99,0,0,0,1,1,positive,1,4,2006
43,1,0,0,484,422,1000000-2000000,6.99,0,0,0,1,1,positive,30,4,2009
44,1,0,0,634,700,1000000-2000000,4.29,0,1,0,1,1,very positive,25,10,2006
45,1,0,0,123,103,200000-500000,12.99,0,1,0,1,1,very positive,3,8,2007
46,1,18,0,36,32,200000-500000,12.99,0,1,0,1,1,very positive,4,8,2011
47,1,0,0,69,110,200000-500000,2.99,0,1,0,1,0,very positive,3,8,2007
48,1,0,0,125,179,500000-1000000,3.99,0,1,0,1,0,very positive,3,8,2007
49,1,0,0,120,114,200000-500000,3.99,0,1,0,1,0,very positive,3,8,2007
50,1,0,0,90,78,500000-1000000,3.99,0,1,0,1,1,very positive,3,8,2007
51,1,0,0,167,189,200000-500000,3.99,0,1,0,1,1,very positive,3,8,2007
52,1,0,0,291,349,200000-500000,3.99,0,1,0,1,1,very positive,3,8,2007
53,1,0,0,32,32,200000-500000,2.49,0,1,0,1,1,very positive,3,8,2007
54,1,0,0,1,1,200000-500000,2.49,0,1,0,1,1,positive,3,8,2007
55,1,0,0,0,0,200000-500000,12.99,0,1,0,1,1,very positive,3,8,2007
56,1,0,0,50,50,200000-500000,2.99,0,1,0,1,0,very positive,3,8,2007
57,1,0,0,0,0,100000-200000,2.99,0,1,0,1,0,positive,3,8,2007
58,1,0,0,0,0,200000-500000,2.99,0,1,0,1,1,very positive,3,8,2007
59,1,0,0,233,239,1000000-2000000,0.0,1,1,0,1,1,very positive,11,7,2006
60,1,0,12,193,193,100000-200000,4.29,0,1,0,1,1,very positive,29,10,2010
61,1,0,0,186,258,500000-1000000,3.99,0,1,0,1,0,very positive,8,5,2006
62,1,0,0,0,0,50000-100000,0.0,1,0,0,1,0,positive,19,12,2006
63,1,0,0,0,0,200000-500000,2.99,0,1,0,1,0,positive,7,11,2007
64,1,0,0,350,202,500000-1000000,14.99,0,1,0,1,0,very positive,22,3,2007
65,1,0,0,462,889,50000-100000,9.99,0,1,0,1,0,very positive,13,10,2006
66,1,0,0,545,849,200000-500000,14.99,0,1,0,1,1,very positive,13,10,2006
67,1,0,0,750,1041,200000-500000,14.99,0,1,0,1,1,very positive,13,10,2006
68,1,0,0,0,0,200000-500000,14.99,0,1,0,1,1,very positive,13,10,2006
69,1,0,0,0,0,20000-50000,1.99,0,1,0,1,1,very positive,12,3,2008
70,1,0,0,0,0,20000-50000,3.99,1,1,0,1,1,very positive,12,7,2007
71,1,0,0,0,0,20000-50000,5.99,0,1,0,1,1,positive,12,3,2008
72,1,0,0,732,732,200000-500000,4.99,0,0,0,1,0,very positive,21,7,2006
73,1,0,0,831,1232,200000-500000,9.99,0,0,0,1,0,positive,21,7,2006
75,1,0,0,648,648,200000-500000,3.49,0,0,0,1,0,positive,8,10,2010
76,1,0,0,13,13,20000-50000,3.49,0,0,0,1,0,very positive,8,10,2010
81,1,0,0,293,351,500000-1000000,5.99,0,0,0,1,0,very positive,21,12,2006
82,1,0,0,939,939,20000-50000,3.99,0,0,0,1,1,very positive,24,8,2006
83,1,0,0,46,60,100000-200000,8.59,0,1,0,1,1,very positive,8,11,2007
84,1,0,0,0,0,20000-50000,3.99,0,0,0,1,1,positive,8,10,2008
85,1,0,0,0,0,200000-500000,3.99,0,0,0,1,0,very positive,1,11,2009
86,1,0,0,1422,1429,200000-500000,7.99,0,0,0,1,0,very positive,19,11,2009
87,1,0,0,0,0,20000-50000,4.49,0,0,0,1,1,very negative,6,8,2007
88,1,0,0,1,1,50000-100000,4.49,0,0,1,1,0,positive,29,8,2007
89,1,0,0,270,270,200000-500000,4.49,0,1,0,1,1,very positive,30,10,2007
90,1,0,0,267,267,100000-200000,4.25,0,0,0,1,0,very positive,30,8,2006
91,1,0,0,0,0,20000-50000,4.25,0,0,0,1,0,positive,30,8,2006
92,1,0,0,214,254,200000-500000,4.25,0,0,0,1,0,very positive,6,3,2007
93,1,0,0,1,1,200000-500000,0.0,0,0,0,1,0,very positive,11,9,2007
94,1,0,0,0,0,20000-50000,4.25,0,0,0,1,0,very positive,25,6,2007
95,1,0,0,0,0,20000-50000,4.25,0,0,0,1,0,very positive,16,10,2007
96,1,0,0,0,0,20000-50000,4.25,0,0,0,1,0,positive,13,12,2007
97,1,0,0,0,0,20000-50000,4.25,0,0,0,1,0,positive,5,6,2008
98,1,0,0,0,0,20000-50000,4.25,0,0,0,1,0,very positive,15,4,2009
99,1,0,0,237,237,200000-500000,4.25,0,0,0,1,0,very positive,15,10,2008
100,1,0,0,0,0,20000-50000,4.25,0,0,0,1,0,very positive,18,11,2008
101,1,0,0,0,0,20000-50000,4.25,0,0,0,1,0,positive,28,1,2009
102,1,0,0,0,0,20000-50000,4.25,0,0,0,1,0,very positive,18,2,2009
103,1,0,21,480,374,1000000-2000000,4.25,0,0,0,1,0,very positive,5,5,2009
104,1,0,0,0,0,50000-100000,4.25,0,0,0,1,0,positive,15,4,2009
105,1,0,0,0,0,20000-50000,4.25,0,0,0,1,0,positive,27,7,2009
106,1,0,14,0,0,100000-200000,4.25,0,1,0,1,0,very positive,15,9,2009
107,1,0,0,262,371,500000-1000000,5.59,0,1,0,1,0,very positive,16,7,2009
108,1,0,0,8,8,50000-100000,5.59,0,1,0,1,1,very positive,26,3,2009
109,1,0,0,287,318,200000-500000,6.99,0,0,0,1,0,very positive,22,6,2009
110,1,0,0,20,24,200000-500000,3.99,0,1,0,1,1,very positive,15,1,2010
111,1,0,0,0,0,50000-100000,7.19,0,1,0,1,0,very positive,14,9,2006
112,1,0,0,111,111,50000-100000,6.99,0,1,0,1,0,very positive,14,9,2006
113,1,0,0,771,771,50000-100000,6.99,0,1,0,1,0,positive,14,9,2006
114,1,0,37,491,232,2000000-5000000,6.99,0,1,0,1,0,very positive,11,10,2006
115,1,0,0,49,64,1000000-2000000,9.99,0,0,0,1,1,very positive,25,10,2006
116,1,0,0,1166,13,2000000-5000000,2.99,0,0,0,1,1,very positive,25,10,2006
117,1,0,0,296,436,500000-1000000,5.99,0,0,0,1,0,very positive,11,7,2005
118,1,0,0,0,0,20000-50000,2.99,0,0,0,1,1,negative,25,10,2006
119,1,0,0,0,0,50000-100000,5.99,0,0,0,1,0,positive,6,4,2007
120,1,0,0,0,0,1000000-2000000,2.99,0,0,0,1,0,very positive,6,4,2007
121,1,0,29,12422,1875,10000000-20000000,6.99,1,0,0,1,1,very positive,29,11,2006
122,1,0,0,0,0,0-20000,5.99,1,0,0,1,0,negative,5,10,2006
124,1,0,0,0,0,0-20000,3.99,0,0,0,1,1,positive,22,6,2007
125,1,0,0,78,78,20000-50000,5.99,1,1,0,1,0,very positive,7,11,2006
126,1,0,0,0,0,20000-50000,7.99,0,0,0,1,0,positive,20,3,2007
127,1,0,0,0,0,20000-50000,6.99,0,0,0,1,0,positive,29,9,2008
128,1,0,0,0,0,20000-50000,7.99,0,0,0,1,1,positive,18,7,2008
129,1,0,0,493,360,1000000-2000000,9.99,0,1,0,1,1,very positive,20,3,2007
130,1,0,0,124,244,100000-200000,7.99,0,1,0,1,1,positive,17,7,2007
131,1,0,0,1,1,100000-200000,4.99,0,1,0,1,1,positive,17,7,2007
132,1,18,0,175,186,2000000-5000000,0.0,0,1,0,1,1,very positive,17,7,2007
133,1,16,0,309,340,1000000-2000000,9.99,0,0,0,1,1,very positive,7,8,2007
134,1,16,0,543,620,1000000-2000000,9.99,0,0,0,1,1,very positive,7,8,2007
135,1,0,0,469,361,2000000-5000000,0.0,0,0,0,1,1,very positive,15,11,2006
136,1,18,0,312,312,200000-500000,9.99,0,1,0,1,0,very positive,29,10,2012
137,1,0,0,897,1192,1000000-2000000,8.99,0,0,0,1,1,very positive,28,8,2007
138,1,0,0,33,33,500000-1000000,8.99,0,0,0,1,1,positive,28,8,2007
139,1,0,0,0,0,200000-500000,0.0,0,0,0,1,1,very positive,28,8,2007
140,1,0,0,0,0,50000-100000,9.99,0,0,0,1,1,very positive,22,11,2006
141,1,0,0,1134,1208,100000-200000,3.99,0,0,0,1,1,very positive,2,9,2010
142,1,0,0,0,0,100000-200000,3.99,0,0,0,1,0,very positive,26,8,2011
143,1,0,0,1,1,100000-200000,3.99,0,0,0,1,0,positive,26,8,2011
144,1,0,0,71,71,100000-200000,3.99,0,0,0,1,1,positive,26,8,2011
145,1,0,0,0,0,0-20000,0.0,1,0,0,1,0,very positive,14,12,2006
147,1,0,0,369,265,1000000-2000000,7.19,0,1,0,1,1,very positive,8,7,2009
148,1,0,0,419,804,100000-200000,4.79,0,0,1,1,0,very positive,8,7,2009
149,1,0,0,1254,174,1000000-2000000,7.19,0,1,0,1,1,very positive,16,9,2009
150,1,0,0,127,180,1000000-2000000,7.19,0,1,0,1,1,very positive,16,9,2009
151,1,0,0,801,801,100000-200000,4.79,0,0,1,1,0,very positive,8,7,2009
152,1,0,0,618,320,2000000-5000000,7.19,0,1,0,1,1,very positive,8,7,2009
153,1,0,0,17,17,20000-50000,7.19,0,1,1,1,1,very positive,8,7,2009
154,1,0,0,100,100,20000-50000,4.79,0,1,0,1,0,very positive,8,7,2009
155,1,0,12,255,363,200000-500000,7.19,1,1,0,1,0,very positive,25,10,2010
156,1,0,0,21,21,100000-200000,3.99,0,0,0,1,0,very positive,21,12,2006
157,1,0,0,0,0,20000-50000,3.99,0,0,0,1,0,positive,21,12,2006
